Year,Measure,measureSubcategory,Demographic,DemographicBreakdown,OrganisationBreakdown,Datasource,OrgID,OrgName,MHSDS_Count,Total_Count,CrudeRate
2021/22,All detentions,All,Age,15 and under,All submissions,MHSDS,All prov,All providers,364,364,3.4
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",5,5,2.9
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",5,5,24.7
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",115,115,62.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",115,115,65.8
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",120,120,64.8
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",130,130,71.3
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",10,10,4.8
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",10,10,45.2
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",310,310,160.3
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",200,200,99
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",160,160,92
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",110,110,73.8
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,5,5,2
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,15,15,53.1
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,490,490,160.2
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,335,335,156.6
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,260,260,135.3
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,165,165,92.4
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QHL,BIRMINGHAM AND SOLIHULL STP,*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",10,10,5.6
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",10,10,53.5
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",280,280,110.1
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",235,235,129.5
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",155,155,94
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",140,140,84.5
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QUY,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",10,10,2.9
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",20,20,51.4
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",385,385,110.7
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",265,265,76.6
2021/22,All detentions,All,Age,50 to 64,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",270,270,81.9
2021/22,All detentions,All,Age,65 and over,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",245,245,79.1
2021/22,All detentions,All,Age,Unknown,STP; Age,MHSDS,QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",*,*,NULL
2021/22,All detentions,All,Age,15 and under,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,*,*,NULL
2021/22,All detentions,All,Age,16 to 17,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,15,15,78.2
2021/22,All detentions,All,Age,18 to 34,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,175,175,92.5
2021/22,All detentions,All,Age,35 to 49,STP; Age,MHSDS,QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,150,150,85
